Identificador,Sexo,Grupo,Grado,Grado_num,Grado_num2,Trabaja,No_trabaja,Ocupacion,Ocupacion_otro,Personas_hogar,Ing_hogar,Municipio,Clave_mun,prob_Contaminacion,prob_Convivencia,prob_Corrupcion,prob_Desarrollo_urbano,prob_Desastres.naturales,prob_Desigualdad,prob_Deuda_publica,prob_Economia,prob_Educacion,prob_Empleo,prob_Imparticion_justicia,prob_Participacion_ciudadana,prob_Pobreza,prob_Salud,prob_Seguridad_publica,prob_Servicios_publicos,prob_Transparencia,prob_Transporte,prob_Vivienda,prob_Ninguno,prob_Otro,Sat_luz,Sat_gas,Sat_agua,Sat_policia,Sat_trans_pub,Sat_estacionamiento,Sat_basura,Sat_internet,Sat_mercados,Informacion,Informacion_otro,Interes_politica,Iden_presidente,Iden_diploc,Iden_dipfed,Voto18,No_voto18,No_voto18_otro,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PP12M_1,PP12M_2,PP12M_3,PP12M_4,PP12M_5,PP12M_6,PP12M_7,Manif_1,Manif_2,Manif_3,Manif_4,SentirPP_1,SentirPP_2,SentirPP_3,SentirPP_4,SentirPP_5,SentirPP_6,Iden_Plebiscito,Iden_Referendum,Iden_Ratificacion_Constitucional,Iden_Iniciativa_Ciudadana,Iden_Ratificacion_Mandato,Iden_Revocacion_Mandato,Iden_Consulta_Popular,Iden_Presupuesto_Participativo,Iden_Comparecencia_Publica,Iden_Proyecto_Social,Iden_Asamblea_Popular,Iden_Ayuntamiento_Abierto,Iden_Colaboracion_Popular,Iden_Planeacion_Participativa,Iden_Dialogo_Colaborativo,Iden_Contraloria_Social,Part_Plebiscito,Part_Referendum,Part_Ratificacion_Constitucional,Part_Iniciativa_Ciudadana,Part_Ratificacion_Mandato,Part_Revocacion_Mandato,Part_Consulta_Popular,Part_Presupuesto_Participativo,Part_Comparecencia_Publica,Part_Proyecto_Social,Part_Asamblea_Popular,Part_Ayuntamiento_Abierto,Part_Colaboracion_Popular,Part_Planeacion_Participativa,Part_Dialogo_Colaborativo,Part_Contraloria_Social,Opinion_cuenta,ID_gob,wf2
1,1,1,6,2,,1,,5,,2,5,Zapopan,120,,,1,1,,,,,,,,,,,1,,,,,,,2,1,3,4,2,1,1,2,1,4,,1,1,2,1,1,,,1,2,3,2,2,2,2,3,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,988
2,1,1,5,4,,1,,5,,3,8,Guadalajara,39,,,,1,,,,,,,1,,,,1,,,,,,,1,1,1,3,3,3,2,2,2,4,,1,1,2,2,1,,,1,1,1,1,1,1,1,3,2,2,2,1,2,2,2,,,,,3,2,2,2,3,3,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,,2,2,,,2,2,2,1,2,2522
3,2,3,5,3,,2,2,,,4,,Tlajomulco de Zúñiga,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,706
4,1,1,5,4,,2,2,,,5,7,Guadalajara,39,,,,,,,,,,1,1,,,,1,,,,,,,2,2,2,3,1,2,2,2,1,3,,2,1,2,2,1,,,1,1,2,1,2,2,1,3,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,,,,,,2,5,86
5,1,1,5,5,,1,,3,,1,2,Zapopan,120,,,,1,,1,,,,,,1,,,,,,,,,,1,2,1,2,2,2,2,3,2,4,,1,1,2,2,1,,,2,2,2,2,2,3,2,4,2,2,1,2,2,1,2,,,,,2,2,3,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,,1,2,3,2,2,1,1,,1,,,,,2,2,3,6,1328
6,1,1,6,2,,1,,1,,2,7,Guadalajara,39,,,,,,1,,,,,1,,1,,,,,,,,,2,1,1,4,4,3,2,3,3,4,,1,1,1,1,1,,,2,3,3,2,3,4,3,4,2,1,2,2,2,2,2,,,,,1,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,,2,2,,2,,,,,,2,,,2,7,482
7,1,1,5,5,,1,,1,,3,6,Guadalajara,39,,,,,,,,,,1,,,,,,,,1,1,,,2,2,2,3,3,2,1,2,3,4,,1,1,1,1,1,,,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,,,3,,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,8,943
8,1,1,5,5,,1,,1,,2,7,Guadalajara,39,1,,,,,1,,,,,,,,,1,,,,,,,2,1,1,4,3,3,2,2,1,3,,1,1,1,1,1,,,2,2,2,3,2,3,2,4,1,2,1,2,1,1,1,,,3,,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,10,482
9,1,1,5,5,,1,,1,,3,3,Zapopan,120,,,,,,,,,,1,,,,,1,1,,,,,,2,2,4,4,3,3,1,2,3,4,,2,1,2,2,1,,,2,1,1,1,2,1,1,3,1,2,1,1,2,2,2,,,,,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,11,1446
10,2,1,6,1,,1,,5,,2,6,Guadalajara,39,,,,,,1,,,,,,,,,1,,,,1,,,2,1,2,4,3,2,2,2,3,3,,1,1,2,2,1,,,2,2,4,2,3,4,2,3,1,2,2,2,1,2,2,,,,,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,1,1,,1,2,,2,2,2,,2,12,732
